"id","species","source"
20039179,"osativa","gfp"
20039193,"osativa","gfp"
20097911,"osativa","gfp"
20141629,"osativa","gfp"
20202129,"osativa","gfp"
20213122,"osativa","gfp"
20226077,"osativa","gfp"
20227044,"osativa","gfp"
20227662,"osativa","gfp"
20419467,"osativa","gfp"
20421194,"osativa","gfp"
20496122,"osativa","gfp"
20576316,"osativa","gfp"
20593223,"osativa","gfp"
20607362,"osativa","gfp"
20616165,"osativa","gfp"
20627947,"osativa","gfp"
20632034,"osativa","gfp"
20632185,"osativa","gfp"
20663087,"osativa","gfp"
20852032,"osativa","gfp"
21087465,"osativa","gfp"
21224427,"osativa","gfp"
21251105,"osativa","gfp"
21251107,"osativa","gfp"
21265890,"osativa","gfp"
21278127,"osativa","gfp"
21282525,"osativa","gfp"
21307283,"osativa","gfp"
21309870,"osativa","gfp"
21352234,"osativa","gfp"
21447055,"osativa","gfp"
21481190,"osativa","gfp"
21499841,"osativa","gfp"
21502185,"osativa","gfp"
21511810,"osativa","gfp"
21533550,"osativa","gfp"
21547461,"osativa","gfp"
21551159,"osativa","gfp"
21558459,"osativa","gfp"
21595879,"osativa","gfp"
21606318,"osativa","gfp"
21610181,"osativa","gfp"
21610725,"osativa","gfp"
21613379,"osativa","gfp"
21697258,"osativa","gfp"
21717056,"osativa","gfp"
21729241,"osativa","gfp"
21734114,"osativa","gfp"
21771914,"osativa","gfp"
21796433,"osativa","gfp"
21809091,"osativa","gfp"
21853042,"osativa","gfp"
21892614,"osativa","gfp"
21897044,"osativa","gfp"
21924254,"osativa","gfp"
21961694,"osativa","gfp"
21969384,"osativa","gfp"
21973088,"osativa","gfp"
21976713,"osativa","gfp"
22010949,"osativa","gfp"
22050533,"osativa","gfp"
22084314,"osativa","gfp"
22111585,"osativa","gfp"
22136599,"osativa","gfp"
22158700,"osativa","gfp"
22161313,"osativa","gfp"
22189955,"osativa","gfp"
22201023,"osativa","gfp"
22228180,"osativa","gfp"
22353560,"osativa","gfp"
22378946,"osativa","gfp"
22409537,"osativa","gfp"
22413771,"osativa","gfp"
22419106,"osativa","gfp"
22442415,"osativa","gfp"
22451723,"osativa","gfp"
22548273,"osativa","gfp"
22616023,"osativa","gfp"
22644768,"osativa","gfp"
22665444,"osativa","gfp"
22676236,"osativa","gfp"
22747551,"osativa","gfp"
22788523,"osativa","gfp"
22829206,"osativa","gfp"
22840326,"osativa","gfp"
22882529,"osativa","gfp"
22882555,"osativa","gfp"
22902685,"osativa","gfp"
22921006,"osativa","gfp"
22956125,"osativa","gfp"
22984070,"osativa","gfp"
22990444,"osativa","gfp"
23053539,"osativa","gfp"
23061987,"osativa","gfp"
23083684,"osativa","gfp"
23122787,"osativa","gfp"
23192363,"osativa","gfp"
23220939,"osativa","gfp"
23233223,"osativa","gfp"
23263792,"osativa","gfp"
23296688,"osativa","gfp"
23462973,"osativa","gfp"
23485991,"osativa","gfp"
23602899,"osativa","gfp"
23620301,"osativa","gfp"
23629832,"osativa","gfp"
23698632,"osativa","gfp"
23700971,"osativa","gfp"
23741473,"osativa","gfp"
23783412,"osativa","gfp"
23849113,"osativa","gfp"
23849131,"osativa","gfp"
23886623,"osativa","gfp"
23888867,"osativa","gfp"
23894405,"osativa","gfp"
23926064,"osativa","gfp"
23963678,"osativa","gfp"
24043853,"osativa","gfp"
24064929,"osativa","gfp"
24089432,"osativa","gfp"
24128296,"osativa","gfp"
24151203,"osativa","gfp"
24153418,"osativa","gfp"
24251791,"osativa","gfp"
24280027,"osativa","gfp"
24286292,"osativa","gfp"
24320692,"osativa","gfp"
24335509,"osativa","gfp"
24401104,"osativa","gfp"
24475234,"osativa","gfp"
24738983,"osativa","gfp"
24784760,"osativa","gfp"
24802508,"osativa","gfp"
24964058,"osativa","gfp"
24977183,"osativa","gfp"
25041515,"osativa","gfp"
25081037,"osativa","gfp"
25089296,"osativa","gfp"
25103875,"osativa","gfp"
25138437,"osativa","gfp"
25316064,"osativa","gfp"
25327517,"osativa","gfp"
9193078,"osativa","gfp"
12746528,"osativa","msms"
15069638,"osativa","msms"
15258153,"osativa","msms"
15276429,"osativa","msms"
15276442,"osativa","msms"
16429260,"osativa","msms"
16443157,"osativa","msms"
17189339,"osativa","msms"
18372294,"osativa","msms"
18557835,"osativa","msms"
19010998,"osativa","msms"
19038476,"osativa","msms"
19217306,"osativa","msms"
19226311,"osativa","msms"
19621931,"osativa","msms"
19685898,"osativa","msms"
19924544,"osativa","msms"
20720170,"osativa","msms"
21347307,"osativa","msms"
21433289,"osativa","msms"
23027867,"osativa","msms"
23159799,"osativa","msms"
23303719,"osativa","msms"
23356873,"osativa","msms"
23777608,"osativa","msms"
24083427,"osativa","msms"
18022940,"osativa","msms"
18203134,"osativa","msms"
19253284,"osativa","msms"
23128297,"taestivum","msms"
24136528,"taestivum","msms"
23683508,"taestivum","msms"
23895732,"taestivum","msms"
22160430,"taestivum","msms"
22736107,"taestivum","msms"
22056444,"taestivum","msms"
19786127,"taestivum","msms"
20410318,"taestivum","msms"
21043471,"taestivum","msms"
19643044,"taestivum","msms"
18071923,"taestivum","msms"
18419817,"taestivum","msms"
16595579,"taestivum","msms"
16481623,"taestivum","msms"
22527397,"zmays","gfp"
18622732,"zmays","gfp"
14671024,"zmays","gfp"
11029706,"zmays","gfp"
19201915,"zmays","gfp"
17105995,"zmays","gfp"
22199372,"zmays","gfp"
12121449,"zmays","gfp"
20040499,"zmays","gfp"
16709191,"zmays","gfp"
12856940,"zmays","gfp"
18682426,"zmays","gfp"
