"pubmed","experiment","locus","locations"
10072395,"gfp","AT2G26670.1","plastid"
10189705,"gfp","AT2G29960.1","endoplasmic reticulum"
10198075,"gfp","AT4G37640.1","endoplasmic reticulum"
10205059,"gfp","AT2G46340.1","nucleus"
10205908,"gfp","AT1G68990.1","mitochondrion"
10205908,"gfp","AT2G24120.1","plastid"
10209027,"gfp","AT4G35950.1","plasma membrane"
10221900,"gfp","AT4G08920.1","nucleus"
10225946,"gfp","AT2G18790.1","cytosol:nucleus"
10348744,"gfp","AT2G02950.1","cytosol"
10350211,"gfp","AT2G48120.1","plastid"
10358052,"gfp","AT5G63310.1","nucleus"
10444599,"gfp","AT4G15090.1","nucleus"
10555304,"gfp","AT1G08540.1","plastid"
10555304,"gfp","AT1G64860.1","plastid"
10555304,"gfp","AT3G53920.1","plastid"
10583378,"gfp","AT1G14610.1","cytosol:mitochondrion"
10583378,"gfp","AT5G26830.1","cytosol:mitochondrion"
10631247,"gfp","AT2G29890.1","cytoskeleton"
10631247,"gfp","AT2G41740.1","cytoskeleton"
10631247,"gfp","AT3G57410.1","cytoskeleton"
10652124,"gfp","AT4G17090.1","plastid"
10652141,"gfp","AT5G17020.1","nucleus"
10734224,"gfp","AT1G16460.1","cytosol"
10734224,"gfp","AT1G79230.1","mitochondrion"
10737809,"gfp","AT1G04400.1","nucleus"
10737809,"gfp","AT1G05320.1","endoplasmic reticulum"
10737809,"gfp","AT1G11190.1","cytosol"
10737809,"gfp","AT1G12090.1","unclear"
10737809,"gfp","AT1G16240.1","nucleus"
10737809,"gfp","AT1G20440.1","cytosol:nucleus"
10737809,"gfp","AT1G20620.1","unclear"
10737809,"gfp","AT1G21720.1","unclear"
10737809,"gfp","AT1G21770.1","peroxisome"
10737809,"gfp","AT1G27950.1","peroxisome:unclear"
10737809,"gfp","AT1G31812.1","unclear"
10737809,"gfp","AT1G47530.1","peroxisome"
10737809,"gfp","AT1G54410.1","cytosol"
10737809,"gfp","AT1G56280.1","peroxisome"
10737809,"gfp","AT1G60140.1","peroxisome"
10737809,"gfp","AT1G67090.1","peroxisome"
10737809,"gfp","AT1G75750.1","peroxisome"
10737809,"gfp","AT1G76180.1","peroxisome"
10737809,"gfp","AT1G78300.1","cytosol:nucleus"
10737809,"gfp","AT2G05380.1","unclear"
10737809,"gfp","AT2G05510.1","nucleus"
10737809,"gfp","AT2G05520.1","peroxisome"
10737809,"gfp","AT2G06510.1","unclear"
10737809,"gfp","AT2G21170.1","cytosol"
10737809,"gfp","AT2G22430.1","peroxisome"
10737809,"gfp","AT2G25670.1","cytosol"
10737809,"gfp","AT2G27020.1","peroxisome"
10737809,"gfp","AT2G27080.1","unclear"
10737809,"gfp","AT2G33830.1","peroxisome"
10737809,"gfp","AT2G37035.1","unclear"
10737809,"gfp","AT2G38140.1","nucleus"
10737809,"gfp","AT2G38530.1","unclear"
10737809,"gfp","AT2G40360.1","peroxisome"
10737809,"gfp","AT2G41430.1","cytosol"
10737809,"gfp","AT2G42170.1","peroxisome"
10737809,"gfp","AT2G45960.1","plasma membrane"
10737809,"gfp","AT2G47320.1","peroxisome"
10737809,"gfp","AT3G02770.1","peroxisome"
10737809,"gfp","AT3G04120.1","cytosol"
10737809,"gfp","AT3G04820.1","peroxisome"
10737809,"gfp","AT3G05880.1","plasma membrane"
10737809,"gfp","AT3G05890.1","plasma membrane"
10737809,"gfp","AT3G06860.1","peroxisome"
10737809,"gfp","AT3G12050.1","peroxisome"
10737809,"gfp","AT3G15450.1","peroxisome"
10737809,"gfp","AT3G16240.1","vacuole"
10737809,"gfp","AT3G16460.1","peroxisome"
10737809,"gfp","AT3G19490.1","unclear"
10737809,"gfp","AT3G21720.1","peroxisome"
10737809,"gfp","AT3G26520.1","peroxisome"
10737809,"gfp","AT3G26820.1","peroxisome"
10737809,"gfp","AT3G48000.1","unclear"
10737809,"gfp","AT3G48930.1","nucleus"
10737809,"gfp","AT3G51600.1","nucleus"
10737809,"gfp","AT3G53420.1","nucleus:plasma membrane"
10737809,"gfp","AT3G56930.1","nucleus"
10737809,"gfp","AT4G01680.1","peroxisome"
10737809,"gfp","AT4G14960.1","plasma membrane"
10737809,"gfp","AT4G15610.1","unclear"
10737809,"gfp","AT4G15810.1","cytosol"
10737809,"gfp","AT4G16210.1","unclear"
10737809,"gfp","AT4G17340.1","vacuole"
10737809,"gfp","AT4G19150.1","nucleus"
10737809,"gfp","AT4G20890.1","nucleus"
10737809,"gfp","AT4G21590.1","cytosol"
10737809,"gfp","AT4G25890.1","cytosol"
10737809,"gfp","AT4G30550.1","peroxisome"
10737809,"gfp","AT4G35100.1","plasma membrane"
10737809,"gfp","AT4G35570.1","nucleus"
10737809,"gfp","AT4G37830.1","unclear"
10737809,"gfp","AT4G38495.1","unclear"
10737809,"gfp","AT4G38520.1","unclear"
10737809,"gfp","AT5G04090.1","nucleus"
10737809,"gfp","AT5G06760.1","peroxisome"
10737809,"gfp","AT5G10770.1","cytosol"
10737809,"gfp","AT5G10820.1","peroxisome"
10737809,"gfp","AT5G15230.1","peroxisome"
10737809,"gfp","AT5G20720.1","peroxisome"
10737809,"gfp","AT5G22060.1","peroxisome"
10737809,"gfp","AT5G26220.1","peroxisome"
10737809,"gfp","AT5G40730.1","peroxisome"
10737809,"gfp","AT5G42050.1","peroxisome"
10737809,"gfp","AT5G47450.1","peroxisome:vacuole"
10737809,"gfp","AT5G58787.1","unclear"
10737809,"gfp","AT5G65660.1","peroxisome"
10737809,"gfp","ATCG00120.1","nucleus"
10751170,"gfp","AT4G02060.1","nucleus"
10759500,"gfp","AT1G49530.1","mitochondrion"
10759500,"gfp","AT2G18640.1","endoplasmic reticulum"
10759500,"gfp","AT2G23800.1","endoplasmic reticulum"
10759500,"gfp","AT3G14550.1","plastid"
10759500,"gfp","AT4G36810.1","plastid"
10769244,"gfp","AT3G22780.1","nucleus"
10798620,"gfp","AT1G75840.1","nucleus"
10798620,"gfp","AT4G35020.1","plasma membrane"
10806224,"gfp","AT5G52470.1","nucleus"
10806350,"gfp","AT5G43780.1","plastid"
10817761,"gfp","AT5G48150.1","cytosol"
10824085,"gfp","AT2G31170.1","mitochondrion:plastid"
10824085,"gfp","AT4G17300.1","mitochondrion:plastid"
10829025,"gfp","AT4G25630.1","nucleus"
10829025,"gfp","AT5G52470.1","nucleus"
10899980,"gfp","AT5G49720.1","cytosol:plasma membrane"
10920210,"gfp","AT1G22770.1","nucleus"
10926537,"gfp","AT5G61380.1","nucleus"
10938344,"gfp","AT4G39400.1","plasma membrane"
10940466,"gfp","AT1G70330.1","plasma membrane"
10945256,"gfp","AT4G24470.1","nucleus"
10945350,"gfp","AT5G61380.1","nucleus"
10948212,"gfp","AT3G23990.1","mitochondrion"
10948247,"gfp","AT1G69120.1","nucleus"
10951223,"gfp","AT1G16460.1","nucleus"
10951223,"gfp","AT1G79230.1","mitochondrion"
10984613,"gfp","AT2G36990.1","plastid"
10998191,"gfp","AT5G57360.1","cytosol:nucleus"
11058164,"gfp","AT4G32551.1","nucleus"
11060042,"gfp","AT1G13270.1","plastid"
11060042,"gfp","AT1G15390.1","mitochondrion"
11060042,"gfp","AT2G44180.1","cytosol"
11060042,"gfp","AT2G45240.1","cytosol"
11060042,"gfp","AT3G25740.1","mitochondrion:plastid"
11060042,"gfp","AT3G59990.1","cytosol"
11060042,"gfp","AT4G37040.1","mitochondrion:plastid"
11060042,"gfp","AT5G14660.1","mitochondrion:plastid"
11089975,"gfp","AT1G04400.1","nucleus"
11089975,"gfp","AT2G18790.1","nucleus"
11090209,"gfp","AT1G02340.1","nucleus"
11090219,"gfp","AT1G02130.1","endoplasmic reticulum:golgi"
11106401,"gfp","AT1G54490.1","cytosol"
11106401,"gfp","AT1G75660.1","nucleus"
11106401,"gfp","AT5G42540.1","nucleus"
11115130,"gfp","AT1G16010.1","plasma membrane"
11115130,"gfp","AT5G64560.1","cytosol"
11115896,"gfp","AT2G41560.1","vacuole"
11148275,"gfp","AT5G62050.1","mitochondrion"
11148282,"gfp","AT1G64280.1","nucleus"
11156607,"gfp","AT3G03050.1","endoplasmic reticulum"
11156608,"gfp","AT4G04770.1","plastid"
11158531,"gfp","AT5G58270.1","mitochondrion"
11158531,"gfp","AT5G65720.1","mitochondrion"
11161017,"gfp","AT3G02150.1","plastid"
11161051,"msms","AT1G27390.1","mitochondrion"
11161051,"msms","AT3G20000.1","mitochondrion"
11161051,"msms","AT3G27080.1","mitochondrion"
11161051,"msms","AT5G40930.1","mitochondrion"
11161051,"msms","AT5G41685.1","mitochondrion"
11163790,"gfp","AT1G78920.1","golgi"
11226186,"gfp","AT4G30190.1","plasma membrane"
11226186,"gfp","AT5G39510.1","endoplasmic reticulum:golgi"
11226186,"gfp","AT5G42020.1","endoplasmic reticulum"
11226195,"gfp","AT3G09150.1","plastid"
11251092,"gfp","AT5G22880.1","nucleus"
11251102,"gfp","AT4G11175.1","plastid"
11258484,"gfp","AT5G15700.1","mitochondrion:plastid"
11278690,"msms","AT1G02560.1","plastid"
11278690,"msms","AT1G09130.1","plastid"
11278690,"msms","AT1G11750.1","plastid"
11278690,"msms","AT1G12410.1","plastid"
11278690,"msms","AT1G49970.1","plastid"
11278690,"msms","AT1G66670.1","plastid"
11278690,"msms","AT5G23140.1","plastid"
11278690,"msms","AT5G45390.1","plastid"
11278690,"msms","ATCG00670.1","plastid"
11278923,"gfp","AT1G29880.1","mitochondrion"
11278923,"gfp","AT3G48110.1","mitochondrion:plastid"
11283334,"gfp","AT1G05570.1","cytosol"
11283335,"gfp","AT1G05560.1","cytosol"
11285278,"gfp","AT5G55280.1","plastid"
11297514,"gfp","AT2G39810.1","cytosol"
11316788,"gfp","AT4G02440.1","nucleus"
11387211,"gfp","AT1G75840.1","plasma membrane"
11402190,"gfp","AT3G45300.1","mitochondrion"
11414611,"gfp","AT2G16700.1","cytoskeleton"
11414611,"gfp","AT2G31200.1","cytoskeleton"
11414611,"gfp","AT3G46010.1","cytoskeleton"
11432957,"gfp","AT1G66260.1","nucleus"
11432957,"gfp","AT5G37720.1","nucleus"
11434463,"gfp","AT5G64210.1","mitochondrion"
11449048,"gfp","AT1G10290.1","golgi"
11459834,"gfp","AT5G51330.1","nucleus"
11489192,"gfp","AT5G40160.1","plastid"
11489193,"gfp","AT2G45300.1","plastid"
11509693,"gfp","AT1G04400.1","nucleus"
11509693,"gfp","AT2G32950.1","nucleus"
11511543,"gfp","AT4G28610.1","nucleus"
11532937,"gfp","AT3G54840.1","endoplasmic reticulum:golgi"
11532937,"gfp","AT4G19640.1","endoplasmic reticulum:golgi:plasma membrane"
11549766,"gfp","AT5G35550.1","nucleus"
11553816,"gfp","AT2G11810.1","plastid"
11553816,"gfp","AT4G31780.1","plastid"
11553816,"gfp","AT5G20410.1","plastid"
11554751,"gfp","AT2G36250.1","plastid"
11554751,"gfp","AT3G52750.1","plastid"
11565032,"gfp","AT4G37650.1","cytosol:nucleus"
11575725,"gfp","AT4G16155.1","plastid"
11581165,"gfp","AT4G25560.1","nucleus"
11585796,"gfp","AT1G79840.1","extracellular"
11593047,"gfp","AT5G47120.1","endoplasmic reticulum:nucleus"
11595795,"gfp","AT3G52420.1","plastid"
11595796,"gfp","AT2G44810.1","plastid"
11595802,"gfp","AT2G13650.1","golgi"
11676033,"gfp","AT1G19050.1","nucleus"
11676033,"gfp","AT3G29350.1","cytosol"
11676033,"gfp","AT5G62920.1","nucleus"
11698668,"gfp","AT3G20740.1","nucleus"
11703093,"gfp","AT5G63870.1","nucleus"
11706177,"gfp","AT2G17520.1","endoplasmic reticulum:nucleus"
11706177,"gfp","AT5G24360.1","endoplasmic reticulum:nucleus"
11711433,"gfp","AT2G37680.1","nucleus"
11719511,"msms","AT1G06680.1","plastid"
11719511,"msms","AT1G08550.1","plastid"
11719511,"msms","AT1G20340.1","plastid"
11719511,"msms","AT1G20810.1","plastid"
11719511,"msms","AT1G50250.1","plastid"
11719511,"msms","AT1G54780.1","plastid"
11719511,"msms","AT1G67090.1","plastid"
11719511,"msms","AT1G67280.1","plastid"
11719511,"msms","AT1G76100.1","plastid"
11719511,"msms","AT1G76450.1","plastid"
11719511,"msms","AT1G77090.1","plastid"
11719511,"msms","AT2G21330.1","plastid"
11719511,"msms","AT2G30790.1","plastid"
11719511,"msms","AT2G30950.1","plastid"
11719511,"msms","AT2G43560.1","plastid"
11719511,"msms","AT2G44920.1","plastid"
11719511,"msms","AT3G01480.1","plastid"
11719511,"msms","AT3G15520.1","plastid"
11719511,"msms","AT3G23400.1","plastid"
11719511,"msms","AT3G27925.1","plastid"
11719511,"msms","AT3G50820.1","plastid"
11719511,"msms","AT3G55330.1","plastid"
11719511,"msms","AT3G56650.1","plastid"
11719511,"msms","AT3G58010.1","plastid"
11719511,"msms","AT3G60370.1","plastid"
11719511,"msms","AT3G62030.1","plastid"
11719511,"msms","AT4G02530.1","plastid"
11719511,"msms","AT4G04020.1","plastid"
11719511,"msms","AT4G05180.1","plastid"
11719511,"msms","AT4G09010.1","plastid"
11719511,"msms","AT4G15510.1","plastid"
11719511,"msms","AT4G17740.1","plastid"
11719511,"msms","AT4G18370.1","plastid"
11719511,"msms","AT4G21280.1","plastid"
11719511,"msms","AT4G22240.1","plastid"
11719511,"msms","AT4G24930.1","plastid"
11719511,"msms","AT5G11450.1","plastid"
11719511,"msms","AT5G13120.1","plastid"
11719511,"msms","AT5G13410.1","plastid"
11719511,"msms","AT5G23120.1","plastid"
11719511,"msms","AT5G35100.1","plastid"
11719511,"msms","AT5G39830.1","plastid"
11719511,"msms","AT5G45680.1","plastid"
11719511,"msms","AT5G46390.1","plastid"
11719511,"msms","AT5G52970.1","plastid"
11719511,"msms","AT5G53490.1","plastid"
11719511,"msms","AT5G66190.1","plastid"
11719511,"msms","AT5G66570.1","plastid"
11719511,"msms","ATCG00120.1","plastid"
11719511,"msms","ATCG00480.1","plastid"
11722763,"gfp","AT1G05160.1","endoplasmic reticulum"
11722763,"gfp","AT1G79460.1","plastid"
11722763,"gfp","AT2G32440.1","endoplasmic reticulum"
11722763,"gfp","AT4G02780.1","plastid"
11722763,"gfp","AT5G25900.1","plastid"
11722763,"gfp","AT5G51810.1","cytosol"
11722768,"gfp","AT4G02390.1","nucleus"
11725951,"gfp","AT1G04260.1","golgi"
11726713,"gfp","AT5G23670.1","endoplasmic reticulum"
11731464,"gfp","AT5G17690.1","nucleus"
11733507,"gfp","AT1G03475.1","plastid"
11739388,"gfp","AT2G04040.1","plasma membrane"
11743111,"gfp","AT1G05760.1","extracellular"
11743111,"gfp","AT5G04890.1","extracellular"
11743114,"msms","AT1G17350.1","mitochondrion"
11743114,"msms","AT1G32580.1","mitochondrion"
11743114,"msms","AT1G47420.1","mitochondrion"
11743114,"msms","AT1G48030.1","mitochondrion"
11743114,"msms","AT1G53240.1","mitochondrion"
11743114,"msms","AT2G05710.1","mitochondrion"
11743114,"msms","AT2G20420.1","mitochondrion"
11743114,"msms","AT2G21870.1","mitochondrion"
11743114,"msms","AT2G27730.1","mitochondrion"
11743114,"msms","AT2G33150.1","mitochondrion"
11743114,"msms","AT3G01280.1","mitochondrion"
11743114,"msms","AT3G03100.1","mitochondrion"
11743114,"msms","AT3G06050.1","mitochondrion"
11743114,"msms","AT3G10920.1","mitochondrion"
11743114,"msms","AT3G17240.1","mitochondrion"
11743114,"msms","AT3G20000.1","mitochondrion"
11743114,"msms","AT3G48680.1","mitochondrion"
11743114,"msms","AT3G52300.1","mitochondrion"
11743114,"msms","AT3G61440.1","mitochondrion"
11743114,"msms","AT4G02930.1","mitochondrion"
11743114,"msms","AT4G11010.1","mitochondrion"
11743114,"msms","AT4G13850.1","mitochondrion"
11743114,"msms","AT4G26970.1","mitochondrion"
11743114,"msms","AT5G08300.1","mitochondrion"
11743114,"msms","AT5G08670.1","mitochondrion"
11743114,"msms","AT5G08680.1","mitochondrion"
11743114,"msms","AT5G08690.1","mitochondrion"
11743114,"msms","AT5G10860.1","mitochondrion"
11743114,"msms","AT5G13450.1","mitochondrion"
11743114,"msms","AT5G15090.1","mitochondrion"
11743114,"msms","AT5G18170.1","mitochondrion"
11743114,"msms","AT5G20080.1","mitochondrion"
11743114,"msms","AT5G37510.1","mitochondrion"
11743114,"msms","AT5G47030.1","mitochondrion"
11743114,"msms","AT5G50850.1","mitochondrion"
11743114,"msms","AT5G52840.1","mitochondrion"
11743114,"msms","AT5G54100.1","mitochondrion"
11743114,"msms","AT5G63510.1","mitochondrion"
11743114,"msms","AT5G66760.1","mitochondrion"
11743114,"msms","ATMG01190.1","mitochondrion"
11743115,"msms","AT1G03860.1","mitochondrion"
11743115,"msms","AT1G06530.1","mitochondrion"
11743115,"msms","AT1G07900.1","mitochondrion"
11743115,"msms","AT1G16700.1","mitochondrion"
11743115,"msms","AT1G17290.1","mitochondrion"
11743115,"msms","AT1G24180.1","mitochondrion"
11743115,"msms","AT1G45332.1","mitochondrion"
11743115,"msms","AT1G47260.1","mitochondrion"
11743115,"msms","AT1G47420.1","mitochondrion"
11743115,"msms","AT1G48030.1","mitochondrion"
11743115,"msms","AT1G51980.1","mitochondrion"
11743115,"msms","AT1G53240.1","mitochondrion"
11743115,"msms","AT1G59900.1","mitochondrion"
11743115,"msms","AT1G79010.1","mitochondrion"
11743115,"msms","AT1G79230.1","mitochondrion"
11743115,"msms","AT1G79440.1","mitochondrion"
11743115,"msms","AT1G80230.1","mitochondrion"
11743115,"msms","AT2G04030.1","mitochondrion"
11743115,"msms","AT2G05710.1","mitochondrion"
11743115,"msms","AT2G14170.1","mitochondrion"
11743115,"msms","AT2G20420.1","mitochondrion"
11743115,"msms","AT2G20530.1","mitochondrion"
11743115,"msms","AT2G21870.1","mitochondrion"
11743115,"msms","AT2G28000.1","mitochondrion"
11743115,"msms","AT2G30970.1","mitochondrion"
11743115,"msms","AT2G33210.1","mitochondrion"
11743115,"msms","AT2G41380.1","mitochondrion"
11743115,"msms","AT2G43750.1","mitochondrion"
11743115,"msms","AT2G44350.1","mitochondrion"
11743115,"msms","AT2G45030.1","mitochondrion"
11743115,"msms","AT2G47510.1","mitochondrion"
11743115,"msms","AT3G01280.1","mitochondrion"
11743115,"msms","AT3G02090.1","mitochondrion"
11743115,"msms","AT3G07480.1","mitochondrion"
11743115,"msms","AT3G07770.1","mitochondrion"
11743115,"msms","AT3G10920.1","mitochondrion"
11743115,"msms","AT3G12260.1","mitochondrion"
11743115,"msms","AT3G17240.1","mitochondrion"
11743115,"msms","AT3G20000.1","mitochondrion"
11743115,"msms","AT3G22330.1","mitochondrion"
11743115,"msms","AT3G23990.1","mitochondrion"
11743115,"msms","AT3G27280.1","mitochondrion"
11743115,"msms","AT3G45300.1","mitochondrion"
11743115,"msms","AT3G48000.1","mitochondrion"
11743115,"msms","AT3G48680.1","mitochondrion"
11743115,"msms","AT3G52300.1","mitochondrion"
11743115,"msms","AT3G59760.1","mitochondrion"
11743115,"msms","AT4G02580.1","mitochondrion"
11743115,"msms","AT4G02930.1","mitochondrion"
11743115,"msms","AT4G11120.1","mitochondrion"
11743115,"msms","AT4G13850.1","mitochondrion"
11743115,"msms","AT4G15940.1","mitochondrion"
11743115,"msms","AT4G26970.1","mitochondrion"
11743115,"msms","AT4G27585.1","mitochondrion"
11743115,"msms","AT4G28510.1","mitochondrion"
11743115,"msms","AT4G31810.1","mitochondrion"
11743115,"msms","AT4G32470.1","mitochondrion"
11743115,"msms","AT4G35260.1","mitochondrion"
11743115,"msms","AT4G35850.1","mitochondrion"
11743115,"msms","AT4G37910.1","mitochondrion"
11743115,"msms","AT5G07440.1","mitochondrion"
11743115,"msms","AT5G08300.1","mitochondrion"
11743115,"msms","AT5G08670.1","mitochondrion"
11743115,"msms","AT5G08680.1","mitochondrion"
11743115,"msms","AT5G08690.1","mitochondrion"
11743115,"msms","AT5G09590.1","mitochondrion"
11743115,"msms","AT5G10860.1","mitochondrion"
11743115,"msms","AT5G13450.1","mitochondrion"
11743115,"msms","AT5G15090.1","mitochondrion"
11743115,"msms","AT5G18170.1","mitochondrion"
11743115,"msms","AT5G23140.1","mitochondrion"
11743115,"msms","AT5G23250.1","mitochondrion"
11743115,"msms","AT5G37510.1","mitochondrion"
11743115,"msms","AT5G40770.1","mitochondrion"
11743115,"msms","AT5G50850.1","mitochondrion"
11743115,"msms","AT5G50950.1","mitochondrion"
11743115,"msms","AT5G52840.1","mitochondrion"
11743115,"msms","AT5G57300.1","mitochondrion"
11743115,"msms","AT5G62530.1","mitochondrion"
11743115,"msms","AT5G63400.1","mitochondrion"
11743115,"msms","AT5G66510.1","mitochondrion"
11743115,"msms","AT5G66760.1","mitochondrion"
11743115,"msms","ATMG01190.1","mitochondrion"
11752383,"gfp","AT1G17560.1","mitochondrion"
11752383,"gfp","AT5G46160.1","mitochondrion"
11821043,"gfp","AT5G55630.1","vacuole"
11826298,"gfp","AT1G31480.1","unclear:vacuole"
11826301,"gfp","AT1G66350.1","nucleus"
11826309,"msms","AT1G03130.1","plastid"
11826309,"msms","AT1G03600.1","plastid"
11826309,"msms","AT1G03680.1","plastid"
11826309,"msms","AT1G06680.1","plastid"
11826309,"msms","AT1G07320.1","plastid"
11826309,"msms","AT1G20340.1","plastid"
11826309,"msms","AT1G54780.1","plastid"
11826309,"msms","AT1G67090.1","plastid"
11826309,"msms","AT1G76100.1","plastid"
11826309,"msms","AT1G76450.1","plastid"
11826309,"msms","AT1G77090.1","plastid"
11826309,"msms","AT1G78630.1","plastid"
11826309,"msms","AT2G05990.1","plastid"
11826309,"msms","AT2G28000.1","plastid"
11826309,"msms","AT2G28605.1","plastid"
11826309,"msms","AT2G33800.1","plastid"
11826309,"msms","AT2G35410.1","plastid"
11826309,"msms","AT2G35490.1","plastid"
11826309,"msms","AT2G37220.1","plastid"
11826309,"msms","AT2G39470.1","plastid"
11826309,"msms","AT2G42130.1","plastid"
11826309,"msms","AT2G43560.1","plastid"
11826309,"msms","AT2G44920.1","plastid"
11826309,"msms","AT3G01480.1","plastid"
11826309,"msms","AT3G01500.1","plastid"
11826309,"msms","AT3G10060.1","plastid"
11826309,"msms","AT3G11630.1","plastid"
11826309,"msms","AT3G15360.1","plastid"
11826309,"msms","AT3G23400.1","plastid"
11826309,"msms","AT3G27850.1","plastid"
11826309,"msms","AT3G27925.1","plastid"
11826309,"msms","AT3G50820.1","plastid"
11826309,"msms","AT3G52150.1","plastid"
11826309,"msms","AT3G52960.1","plastid"
11826309,"msms","AT3G53460.1","plastid"
11826309,"msms","AT3G55330.1","plastid"
11826309,"msms","AT3G56650.1","plastid"
11826309,"msms","AT3G58010.1","plastid"
11826309,"msms","AT3G60370.1","plastid"
11826309,"msms","AT3G63190.1","plastid"
11826309,"msms","AT4G02530.1","plastid"
11826309,"msms","AT4G03520.1","plastid"
11826309,"msms","AT4G04020.1","plastid"
11826309,"msms","AT4G04640.1","plastid"
11826309,"msms","AT4G05180.1","plastid"
11826309,"msms","AT4G09010.1","plastid"
11826309,"msms","AT4G09650.1","plastid"
11826309,"msms","AT4G15510.1","plastid"
11826309,"msms","AT4G18370.1","plastid"
11826309,"msms","AT4G21280.1","plastid"
11826309,"msms","AT4G22240.1","plastid"
11826309,"msms","AT4G24280.1","plastid"
11826309,"msms","AT4G24770.1","plastid"
11826309,"msms","AT4G24930.1","plastid"
11826309,"msms","AT4G25100.1","plastid"
11826309,"msms","AT4G25370.1","plastid"
11826309,"msms","AT4G28750.1","plastid"
11826309,"msms","AT4G39710.1","plastid"
11826309,"msms","AT5G13120.1","plastid"
11826309,"msms","AT5G13410.1","plastid"
11826309,"msms","AT5G17710.1","plastid"
11826309,"msms","AT5G20720.1","plastid"
11826309,"msms","AT5G23120.1","plastid"
11826309,"msms","AT5G40950.1","plastid"
11826309,"msms","AT5G52970.1","plastid"
11826309,"msms","AT5G53490.1","plastid"
11826309,"msms","AT5G58250.1","plastid"
11826309,"msms","AT5G64040.1","plastid"
11826309,"msms","AT5G66190.1","plastid"
11826309,"msms","AT5G66570.1","plastid"
11826309,"msms","ATCG00120.1","plastid"
11826309,"msms","ATCG00470.1","plastid"
11826309,"msms","ATCG00480.1","plastid"
11826309,"msms","ATCG00490.1","plastid"
11826309,"msms","ATCG00900.1","plastid"
11826309,"msms","ATCG01240.1","plastid"
11844103,"gfp","AT1G22740.1","vacuole"
11844103,"gfp","AT2G36830.1","vacuole"
11851908,"gfp","AT5G15840.1","nucleus"
11862947,"gfp","AT4G14550.1","nucleus"
11867638,"gfp","AT3G01330.1","cytosol:nucleus"
11867638,"gfp","AT3G48160.1","nucleus"
11867638,"gfp","AT5G14960.1","nucleus"
11870776,"msms","AT1G27390.1","mitochondrion"
11870776,"msms","AT1G50400.1","mitochondrion"
11870776,"msms","AT1G51980.1","mitochondrion"
11870776,"msms","AT2G21870.1","mitochondrion"
11870776,"msms","AT2G27730.1","mitochondrion"
11870776,"msms","AT3G02090.1","mitochondrion"
11870776,"msms","AT3G16480.1","mitochondrion"
11870776,"msms","AT3G20000.1","mitochondrion"
11870776,"msms","AT3G27070.1","mitochondrion"
11870776,"msms","AT3G27080.1","mitochondrion"
11870776,"msms","AT3G27240.1","mitochondrion"
11870776,"msms","AT3G52300.1","mitochondrion"
11870776,"msms","AT5G08670.1","mitochondrion"
11870776,"msms","AT5G08680.1","mitochondrion"
11870776,"msms","AT5G08690.1","mitochondrion"
11870776,"msms","AT5G13430.1","mitochondrion"
11870776,"msms","AT5G13440.1","mitochondrion"
11870776,"msms","AT5G13450.1","mitochondrion"
11870776,"msms","AT5G40810.1","mitochondrion"
11870776,"msms","AT5G40930.1","mitochondrion"
11870776,"msms","AT5G47030.1","mitochondrion"
11870776,"msms","ATMG00220.1","mitochondrion"
11870776,"msms","ATMG01190.1","mitochondrion"
11874578,"gfp","AT1G29330.1","endoplasmic reticulum:golgi"
11884687,"gfp","AT2G01980.1","plasma membrane"
11891240,"gfp","AT5G02470.1","nucleus"
11891240,"gfp","AT5G03415.1","nucleus"
11919680,"gfp","AT1G77750.1","mitochondrion"
11919680,"gfp","AT5G14320.1","plastid"
11943170,"gfp","AT3G56710.1","plastid"
11971134,"gfp","AT1G20090.1","cytoskeleton:plasma membrane"
11978870,"gfp","AT3G59420.1","extracellular"
12006626,"gfp","AT5G06680.1","cytoskeleton:nucleus:plasma membrane"
12029464,"gfp","AT1G69390.1","plastid"
12032082,"gfp","AT1G74030.1","cytosol:nucleus"
12033984,"gfp","AT1G08490.1","plastid"
12039957,"gfp","AT4G01320.1","endoplasmic reticulum"
12040093,"gfp","AT1G65620.1","nucleus"
12047628,"gfp","AT3G05030.1","vacuole"
12061901,"gfp","AT3G63130.1","nucleus"
12061901,"gfp","AT5G19320.1","nucleus"
12068099,"gfp","AT1G10060.1","mitochondrion"
12068099,"gfp","AT1G10070.1","plastid"
12068099,"gfp","AT1G50110.1","cytosol"
12068099,"gfp","AT3G19710.1","cytosol"
12068099,"gfp","AT3G49680.1","plastid"
12068099,"gfp","AT5G65780.1","plastid"
12068105,"gfp","AT3G11540.1","nucleus"
12081650,"gfp","AT5G46860.1","vacuole"
12084823,"gfp","AT4G19690.1","plasma membrane"
12084824,"gfp","AT5G67590.1","mitochondrion"
12101128,"gfp","AT1G71830.1","plasma membrane"
12101128,"gfp","AT5G19280.1","plasma membrane"
12119372,"gfp","AT1G04110.1","plasma membrane"
12119373,"gfp","AT1G09570.1","cytosol:nucleus"
12119373,"gfp","AT2G18790.1","cytosol:nucleus"
12119373,"gfp","AT4G16250.1","nucleus"
12119373,"gfp","AT4G18130.1","nucleus"
12119373,"gfp","AT5G35840.1","nucleus"
12119377,"gfp","AT1G09570.1","nucleus"
12119380,"gfp","AT4G12420.1","extracellular:plasma membrane"
12147736,"gfp","AT3G01910.1","peroxisome"
